# Samsung SM-S928B / S928BXXS6DZH2 stock vendor_boot gunyah_qcom.ko import CRC baseline
# Source vendor_boot.img SHA256: e8ddd8d1f1606cac9c238823a33009846f2d83360871d2622c8a24c8c8f7b0c6
# Stock gunyah_qcom.ko SHA256: e39718fc779d0f5641ca43a06613d945ff2060eeb4990a6e4eccd12ec3680fc0
# Kernel release: 6.1.145-android14-11-33419968-abS928BXXS6DZH2
# symbol	stock_crc
arm_smccc_1_1_get_conduit	0x6d467b08
__arm_smccc_sve_check	0x3d93c7c2
gh_rm_register_platform_ops	0xfd11885c
__stack_chk_fail	0xc2c193d2
gh_rm_unregister_platform_ops	0x057f483b
__kmalloc	0xeb233a45
qcom_scm_assign_mem	0xcdaced8a
kfree	0x037a0cba
memstart_addr	0x9688de8b
alt_cb_patch_nops	0x1348649e
module_layout	0xea759d7f
