# Samsung SM-S928B / S928BXXU6ZZHL stock vendor_boot gunyah_qcom.ko import CRC baseline
# Source vendor_boot.img SHA256: 4548dc91b5749b679d1850b171d5550b9946ba7b09f8f4693a28c79d32230334
# Stock gunyah_qcom.ko SHA256: dc087e10ecda06ccd177307680c1cd70a8af6f0884195a8e5ad233519c04313b
# Kernel release: 6.1.162-android14-11-34343818-abS928BXXU6ZZHL
# symbol	stock_crc
arm_smccc_1_1_get_conduit	0x6d467b08
__arm_smccc_sve_check	0x3d93c7c2
gh_rm_register_platform_ops	0xfd11885c
__stack_chk_fail	0xc2c193d2
gh_rm_unregister_platform_ops	0x057f483b
__kmalloc	0xeb233a45
qcom_scm_assign_mem	0xcdaced8a
kfree	0x037a0cba
memstart_addr	0x9688de8b
alt_cb_patch_nops	0x1348649e
module_layout	0xea759d7f
